path,label
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic52.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper39.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal237.jpg,5
garbage_dataset/Garbage classification/Garbage classification/trash/trash31.jpg,6
garbage_dataset/Garbage classification/Garbage classification/glass/glass82.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass145.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper131.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal337.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass174.jpg,1
garbage_dataset/Garbage classification/Garbage classification/metal/metal362.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic377.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic206.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal368.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic126.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper185.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic174.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal240.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic225.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic37.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass61.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass342.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash104.jpg,6
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard347.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic137.jpg,4
garbage_dataset/Garbage classification/Garbage classification/trash/trash11.jpg,6
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard218.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper274.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper227.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass6.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard251.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic55.jpg,4
garbage_dataset/Garbage classification/Garbage classification/trash/trash46.jpg,6
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic34.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic171.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass334.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass406.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass260.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper488.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass483.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic470.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper559.jpg,2
garbage_dataset/Garbage classification/Garbage classification/trash/trash62.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper125.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper405.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal29.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass403.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper442.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal195.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic441.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal343.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic264.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass389.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper252.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper505.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass355.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper484.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper378.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard7.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic26.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard368.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass489.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper567.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard383.jpg,3
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard105.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal63.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass410.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass161.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper548.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard402.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic330.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard188.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass216.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic87.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard372.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass247.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass480.jpg,1
garbage_dataset/Garbage classification/Garbage classification/metal/metal10.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic2.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper446.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard60.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic431.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic471.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic246.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass331.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper460.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass440.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash77.jpg,6
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard355.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal312.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic467.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper168.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal315.jpg,5
garbage_dataset/Garbage classification/Garbage classification/metal/metal41.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper577.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic259.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard148.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal215.jpg,5
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard91.jpg,3
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard395.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper400.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass303.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard235.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass223.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass366.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard189.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic478.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic432.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard396.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic320.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic28.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal36.jpg,5
garbage_dataset/Garbage classification/Garbage classification/metal/metal374.jpg,5
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard376.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal345.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass79.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass141.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper582.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass12.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper30.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper62.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard362.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper409.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass201.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper235.jpg,2
garbage_dataset/Garbage classification/Garbage classification/trash/trash51.jpg,6
garbage_dataset/Garbage classification/Garbage classification/glass/glass460.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper289.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard117.jpg,3
garbage_dataset/Garbage classification/Garbage classification/trash/trash61.jpg,6
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard253.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic78.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic357.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic482.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper286.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard397.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass454.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash137.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper93.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal142.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper44.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal266.jpg,5
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard208.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass229.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper113.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard12.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper381.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal84.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic143.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass450.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass214.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard246.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal353.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass363.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper550.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic150.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard173.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal71.jpg,5
garbage_dataset/Garbage classification/Garbage classification/metal/metal229.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass308.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard281.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic383.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper249.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic117.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal338.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper264.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard275.jpg,3
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard306.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper121.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard199.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic472.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard331.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic395.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass11.jpg,1
garbage_dataset/Garbage classification/Garbage classification/metal/metal122.jpg,5
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard172.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal44.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper176.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic212.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass149.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic366.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass394.jpg,1
